id_img,label
10052,angry
10065,angry
10079,angry
10095,angry
10121,neutral
10148,angry
10163,angry
10215,sad
1024,angry
10286,angry
10315,angry
10336,happy
10338,angry
10371,angry
10382,neutral
10399,fear
10415,neutral
10426,angry
10551,neutral
10554,angry
10583,neutral
10699,angry
10702,neutral
1071,fear
10743,angry
10746,angry
10818,neutral
10823,fear
10825,angry
10839,happy
10854,disgust
10970,angry
11002,angry
11017,angry
11024,angry
11028,fear
1106,fear
11075,angry
11093,happy
11096,sad
11158,fear
11169,angry
11186,angry
11188,angry
11200,sad
1124,angry
11266,angry
1127,neutral
11337,angry
11342,angry
11400,angry
11421,surprise
11467,angry
11561,fear
11610,fear
11613,angry
11632,angry
11642,neutral
11675,sad
11694,angry
1177,angry
11813,angry
11841,angry
11849,angry
11883,angry
11949,angry
11964,angry
11986,angry
12136,sad
12144,happy
1215,neutral
12171,neutral
12183,angry
12230,angry
12237,sad
12307,angry
1235,fear
12352,surprise
12489,sad
12680,angry
12695,fear
12733,angry
12808,angry
12810,angry
12841,angry
12842,angry
12851,angry
12928,neutral
12945,sad
13029,angry
13041,fear
13057,sad
13059,neutral
13092,sad
13118,angry
13167,angry
13220,angry
13267,neutral
13279,angry
13334,sad
13351,angry
13376,neutral
13395,angry
1340,angry
13431,neutral
1350,angry
13514,neutral
13533,surprise
13535,angry
1358,sad
13582,fear
13599,neutral
13607,angry
13671,sad
13672,angry
13738,angry
13758,neutral
1386,sad
13890,fear
13978,fear
14022,surprise
14030,fear
14058,angry
14108,angry
14118,fear
14120,sad
14148,angry
14185,sad
14206,fear
1422,fear
14243,angry
14315,fear
14329,angry
14357,neutral
14376,angry
1438,neutral
14381,sad
14421,angry
14438,sad
14498,sad
14557,neutral
1460,sad
14706,angry
1477,surprise
14775,angry
14821,sad
14831,fear
14870,neutral
14945,angry
15074,angry
1508,angry
15138,angry
15172,neutral
15190,neutral
15194,angry
15217,sad
15222,angry
15295,sad
15474,happy
15500,disgust
15502,happy
1555,fear
15562,angry
15637,happy
15644,neutral
15654,fear
15699,neutral
157,disgust
15709,happy
15712,sad
15715,surprise
15725,fear
1575,sad
15771,happy
1582,angry
15820,sad
15821,angry
15835,angry
1584,neutral
15848,sad
15897,angry
15919,angry
15941,sad
15954,sad
15979,angry
16033,angry
16102,happy
16169,disgust
16222,fear
16233,sad
16287,surprise
16292,angry
16380,angry
16406,neutral
16410,happy
16413,neutral
16428,fear
16506,fear
16510,angry
16557,sad
16565,sad
16643,sad
16659,sad
16681,sad
16711,happy
1672,sad
16764,angry
16768,angry
16783,happy
16792,angry
16875,fear
16999,neutral
17024,happy
17053,neutral
17085,angry
17099,happy
17167,disgust
1717,angry
17170,neutral
17186,angry
17209,fear
17211,fear
17228,happy
17259,angry
17316,angry
17344,angry
1736,fear
17371,angry
17413,sad
17428,fear
17445,fear
17452,sad
17502,angry
17536,angry
17647,angry
17700,angry
17705,angry
17731,angry
17735,angry
17736,angry
17752,sad
17787,angry
17910,angry
17939,angry
18001,sad
18050,angry
18140,sad
18142,surprise
18161,surprise
18166,sad
18183,angry
18200,angry
18247,neutral
1825,fear
18254,neutral
18284,angry
18376,angry
18380,fear
1841,angry
18415,angry
18445,angry
18459,sad
18466,angry
18492,angry
18534,fear
18565,angry
18566,angry
18588,angry
18593,angry
18602,happy
18617,fear
18633,angry
18695,angry
18715,angry
18779,angry
1880,angry
18810,angry
18837,angry
18882,angry
18903,sad
18949,neutral
18983,angry
1899,sad
18994,angry
19014,happy
19060,sad
19067,angry
1908,angry
19093,happy
19108,fear
19114,neutral
19115,angry
19140,fear
19152,sad
19268,angry
19292,neutral
19309,neutral
19392,sad
19476,happy
19477,fear
19485,happy
1966,happy
19664,sad
19732,fear
19811,sad
1983,disgust
19832,angry
19877,sad
19906,sad
19923,happy
1994,sad
19950,neutral
19961,happy
2006,angry
20222,angry
20227,neutral
20287,fear
20290,angry
20298,surprise
20303,angry
20312,surprise
20328,sad
20353,angry
20374,angry
20451,fear
2050,angry
20505,sad
20532,angry
2055,surprise
20629,sad
20630,happy
20635,angry
20640,angry
20653,angry
20673,angry
20686,fear
20736,angry
20739,angry
20796,neutral
20817,happy
20849,happy
21068,sad
21099,neutral
21111,angry
21131,fear
21135,angry
21161,angry
2117,surprise
21173,angry
21284,angry
21371,angry
21374,angry
2142,angry
21447,surprise
21472,angry
21511,angry
21512,sad
21520,angry
21541,neutral
21573,fear
21670,neutral
21703,sad
21723,happy
21782,angry
21836,neutral
21865,angry
21916,neutral
21921,happy
21922,neutral
2194,angry
22089,fear
22183,neutral
22184,happy
22198,angry
2225,sad
22309,happy
22334,fear
22375,happy
22516,happy
22695,sad
22733,angry
22739,angry
22789,fear
22807,sad
22810,angry
22832,happy
2290,angry
22990,angry
23,happy
23008,sad
23041,sad
23059,angry
23085,neutral
23164,angry
23194,angry
23215,neutral
23230,neutral
23246,angry
23327,happy
23404,fear
23468,angry
23473,angry
23488,angry
23521,neutral
23532,angry
23749,neutral
23780,angry
23783,angry
23814,angry
23847,angry
23886,angry
24067,angry
2407,neutral
24071,angry
24176,angry
24184,angry
24252,sad
24378,sad
24412,sad
24428,angry
24435,fear
24437,sad
24441,happy
24466,angry
24490,fear
245,angry
24501,sad
24542,sad
24660,neutral
24678,angry
24711,angry
24789,neutral
24797,angry
24819,angry
24821,neutral
2484,angry
2486,sad
2487,angry
24886,fear
249,fear
24959,surprise
24967,angry
2498,angry
24992,fear
25082,sad
25088,angry
251,disgust
25101,angry
2511,angry
25131,fear
25144,angry
25209,angry
25255,neutral
25343,happy
25360,neutral
25435,angry
25528,angry
25542,happy
2557,angry
2558,fear
25612,happy
25681,neutral
25688,sad
25778,happy
25795,happy
2581,fear
